run_id,run_seq,ts,batch_label,is_latest_for_batch,n_rows,n_quarantined,n_validated,quarantine_rate,row_pass_rate,dq_check_pass_rate,n_failed_error_checks,freshness_days,mae,rmse,r2,n_drift_alerts,drift_status
2021-W13-2026-07-07T00:46:33.594148+00:00,1,2026-07-07T00:46:33.594148+00:00,2021-W13,True,3517,2049,1468,0.582598805800398,0.4174011941996019,0.375,3,31.0,6996.637730358958,11057.395525058122,0.5008206453090924,0,baseline
2021-W14-2026-07-07T00:46:35.743387+00:00,2,2026-07-07T00:46:35.743387+00:00,2021-W14,True,52874,26054,26820,0.4927563641865567,0.5072436358134432,0.5,3,24.0,5556.363493025689,9363.546734268619,0.5634173099090236,1,computed
2021-W15-2026-07-07T00:47:00.838004+00:00,3,2026-07-07T00:47:00.838004+00:00,2021-W15,True,65639,30235,35404,0.46062554274135803,0.539374457258642,0.5,3,17.0,5351.604426567002,9028.802322463353,0.5502916669262551,0,computed
2021-W16-2026-07-07T00:47:35.000734+00:00,4,2026-07-07T00:47:35.000734+00:00,2021-W16,True,90939,42222,48717,0.4642892488371326,0.5357107511628674,0.5,3,10.0,5219.371421753366,8724.746561500062,0.5797316352419445,0,computed
2021-W17-2026-07-07T00:48:25.517543+00:00,5,2026-07-07T00:48:25.517543+00:00,2021-W17,True,145085,60209,84876,0.41499121204810974,0.5850087879518903,0.5,3,3.0,5412.913666702586,9125.452088789918,0.5255741269262193,0,computed
2021-W18-2026-07-07T00:50:07.738745+00:00,6,2026-07-07T00:50:07.738745+00:00,2021-W18,True,68758,22579,46179,0.3283836062712703,0.6716163937287297,0.5,3,0.0,5833.060165818853,9736.300217227232,0.5281200552847859,0,computed
