run_id,batch_label,metric,column,value,threshold,is_alert
2021-W18-2026-07-07T00:50:07.738745+00:00,2021-W18,null_rate_delta,fuel,-0.00025119857441490995,0.1,False
2021-W14-2026-07-07T00:46:35.743387+00:00,2021-W14,null_rate_delta,id,0.0,0.1,False
2021-W15-2026-07-07T00:47:00.838004+00:00,2021-W15,null_rate_delta,id,0.0,0.1,False
2021-W16-2026-07-07T00:47:35.000734+00:00,2021-W16,null_rate_delta,id,0.0,0.1,False
2021-W17-2026-07-07T00:48:25.517543+00:00,2021-W17,null_rate_delta,id,0.0,0.1,False
2021-W18-2026-07-07T00:50:07.738745+00:00,2021-W18,null_rate_delta,id,0.0,0.1,False
2021-W14-2026-07-07T00:46:35.743387+00:00,2021-W14,null_rate_delta,image_url,0.0,0.1,False
2021-W15-2026-07-07T00:47:00.838004+00:00,2021-W15,null_rate_delta,image_url,0.0,0.1,False
2021-W16-2026-07-07T00:47:35.000734+00:00,2021-W16,null_rate_delta,image_url,0.0,0.1,False
2021-W17-2026-07-07T00:48:25.517543+00:00,2021-W17,null_rate_delta,image_url,0.0,0.1,False
2021-W18-2026-07-07T00:50:07.738745+00:00,2021-W18,null_rate_delta,image_url,0.0,0.1,False
2021-W14-2026-07-07T00:46:35.743387+00:00,2021-W14,null_rate_delta,lat,0.009966534389115447,0.1,False
2021-W15-2026-07-07T00:47:00.838004+00:00,2021-W15,null_rate_delta,lat,0.0009878305943513757,0.1,False
2021-W16-2026-07-07T00:47:35.000734+00:00,2021-W16,null_rate_delta,lat,-0.0006881267714365889,0.1,False
2021-W17-2026-07-07T00:48:25.517543+00:00,2021-W17,null_rate_delta,lat,-0.008642391505316687,0.1,False
2021-W18-2026-07-07T00:50:07.738745+00:00,2021-W18,null_rate_delta,lat,-0.0015062790826127328,0.1,False
2021-W14-2026-07-07T00:46:35.743387+00:00,2021-W14,null_rate_delta,long,0.009966534389115447,0.1,False
2021-W15-2026-07-07T00:47:00.838004+00:00,2021-W15,null_rate_delta,long,0.0009878305943513757,0.1,False
2021-W16-2026-07-07T00:47:35.000734+00:00,2021-W16,null_rate_delta,long,-0.0006881267714365889,0.1,False
2021-W17-2026-07-07T00:48:25.517543+00:00,2021-W17,null_rate_delta,long,-0.008642391505316687,0.1,False
2021-W18-2026-07-07T00:50:07.738745+00:00,2021-W18,null_rate_delta,long,-0.0015062790826127328,0.1,False
2021-W14-2026-07-07T00:46:35.743387+00:00,2021-W14,null_rate_delta,mileage,0.009284116331096198,0.1,False
2021-W15-2026-07-07T00:47:00.838004+00:00,2021-W15,null_rate_delta,mileage,-0.0015731232229728217,0.1,False
2021-W16-2026-07-07T00:47:35.000734+00:00,2021-W16,null_rate_delta,mileage,-0.0001982152277120201,0.1,False
2021-W17-2026-07-07T00:48:25.517543+00:00,2021-W17,null_rate_delta,mileage,-0.0009266993658724994,0.1,False
2021-W18-2026-07-07T00:50:07.738745+00:00,2021-W18,null_rate_delta,mileage,0.0009498144238097436,0.1,False
2021-W14-2026-07-07T00:46:35.743387+00:00,2021-W14,null_rate_delta,model,-0.0012007591227824188,0.1,False
2021-W15-2026-07-07T00:47:00.838004+00:00,2021-W15,null_rate_delta,model,5.131773513460114e-05,0.1,False
2021-W16-2026-07-07T00:47:35.000734+00:00,2021-W16,null_rate_delta,model,0.0006511092252321684,0.1,False
2021-W17-2026-07-07T00:48:25.517543+00:00,2021-W17,null_rate_delta,model,-0.001101661827855524,0.1,False
2021-W18-2026-07-07T00:50:07.738745+00:00,2021-W18,null_rate_delta,model,0.00041952358642328817,0.1,False
2021-W14-2026-07-07T00:46:35.743387+00:00,2021-W14,null_rate_delta,paint_color,0.04055394018453834,0.1,False
2021-W15-2026-07-07T00:47:00.838004+00:00,2021-W15,null_rate_delta,paint_color,-0.010245706720870884,0.1,False
2021-W16-2026-07-07T00:47:35.000734+00:00,2021-W16,null_rate_delta,paint_color,0.005964612225378307,0.1,False
2021-W17-2026-07-07T00:48:25.517543+00:00,2021-W17,null_rate_delta,paint_color,-0.022612751328598413,0.1,False
2021-W18-2026-07-07T00:50:07.738745+00:00,2021-W18,null_rate_delta,paint_color,0.018436058785588516,0.1,False
2021-W14-2026-07-07T00:46:35.743387+00:00,2021-W14,null_rate_delta,posting_date,0.0,0.1,False
2021-W15-2026-07-07T00:47:00.838004+00:00,2021-W15,null_rate_delta,posting_date,0.0,0.1,False
2021-W16-2026-07-07T00:47:35.000734+00:00,2021-W16,null_rate_delta,posting_date,0.0,0.1,False
2021-W17-2026-07-07T00:48:25.517543+00:00,2021-W17,null_rate_delta,posting_date,0.0,0.1,False
2021-W18-2026-07-07T00:50:07.738745+00:00,2021-W18,null_rate_delta,posting_date,0.0,0.1,False
2021-W14-2026-07-07T00:46:35.743387+00:00,2021-W14,null_rate_delta,price,0.0,0.1,False
2021-W15-2026-07-07T00:47:00.838004+00:00,2021-W15,null_rate_delta,price,0.0,0.1,False
2021-W16-2026-07-07T00:47:35.000734+00:00,2021-W16,null_rate_delta,price,0.0,0.1,False
2021-W17-2026-07-07T00:48:25.517543+00:00,2021-W17,null_rate_delta,price,0.0,0.1,False
2021-W18-2026-07-07T00:50:07.738745+00:00,2021-W18,null_rate_delta,price,0.0,0.1,False
2021-W14-2026-07-07T00:46:35.743387+00:00,2021-W14,null_rate_delta,region,0.0,0.1,False
2021-W15-2026-07-07T00:47:00.838004+00:00,2021-W15,null_rate_delta,region,0.0,0.1,False
2021-W16-2026-07-07T00:47:35.000734+00:00,2021-W16,null_rate_delta,region,0.0,0.1,False
2021-W17-2026-07-07T00:48:25.517543+00:00,2021-W17,null_rate_delta,region,0.0,0.1,False
2021-W18-2026-07-07T00:50:07.738745+00:00,2021-W18,null_rate_delta,region,0.0,0.1,False
2021-W14-2026-07-07T00:46:35.743387+00:00,2021-W14,null_rate_delta,region_url,0.0,0.1,False
2021-W15-2026-07-07T00:47:00.838004+00:00,2021-W15,null_rate_delta,region_url,0.0,0.1,False
2021-W16-2026-07-07T00:47:35.000734+00:00,2021-W16,null_rate_delta,region_url,0.0,0.1,False
2021-W17-2026-07-07T00:48:25.517543+00:00,2021-W17,null_rate_delta,region_url,0.0,0.1,False
2021-W18-2026-07-07T00:50:07.738745+00:00,2021-W18,null_rate_delta,region_url,0.0,0.1,False
2021-W14-2026-07-07T00:46:35.743387+00:00,2021-W14,null_rate_delta,size,-0.030383300111551992,0.1,False
2021-W15-2026-07-07T00:47:00.838004+00:00,2021-W15,null_rate_delta,size,-0.007448367795244049,0.1,False
2021-W16-2026-07-07T00:47:35.000734+00:00,2021-W16,null_rate_delta,size,-0.00035830030140460156,0.1,False
2021-W17-2026-07-07T00:48:25.517543+00:00,2021-W17,null_rate_delta,size,-0.03675430375617039,0.1,False
2021-W18-2026-07-07T00:50:07.738745+00:00,2021-W18,null_rate_delta,size,0.02453674747121437,0.1,False
2021-W14-2026-07-07T00:46:35.743387+00:00,2021-W14,null_rate_delta,state,0.0,0.1,False
2021-W15-2026-07-07T00:47:00.838004+00:00,2021-W15,null_rate_delta,state,0.0,0.1,False
2021-W16-2026-07-07T00:47:35.000734+00:00,2021-W16,null_rate_delta,state,0.0,0.1,False
2021-W17-2026-07-07T00:48:25.517543+00:00,2021-W17,null_rate_delta,state,0.0,0.1,False
2021-W18-2026-07-07T00:50:07.738745+00:00,2021-W18,null_rate_delta,state,0.0,0.1,False
2021-W14-2026-07-07T00:46:35.743387+00:00,2021-W14,null_rate_delta,title_status,-0.0453123761802876,0.1,False
2021-W15-2026-07-07T00:47:00.838004+00:00,2021-W15,null_rate_delta,title_status,-0.00017810396681627524,0.1,False
2021-W16-2026-07-07T00:47:35.000734+00:00,2021-W16,null_rate_delta,title_status,0.001158171974993346,0.1,False
2021-W17-2026-07-07T00:48:25.517543+00:00,2021-W17,null_rate_delta,title_status,-0.00610090595542645,0.1,False
2021-W18-2026-07-07T00:50:07.738745+00:00,2021-W18,null_rate_delta,title_status,0.0027678770223628375,0.1,False
2021-W14-2026-07-07T00:46:35.743387+00:00,2021-W14,null_rate_delta,transmission,0.000919135949218425,0.1,False
2021-W15-2026-07-07T00:47:00.838004+00:00,2021-W15,null_rate_delta,transmission,-0.0004837566435656822,0.1,False
2021-W16-2026-07-07T00:47:35.000734+00:00,2021-W16,null_rate_delta,transmission,0.0002844959635087082,0.1,False
2021-W17-2026-07-07T00:48:25.517543+00:00,2021-W17,null_rate_delta,transmission,-0.0008622852962655849,0.1,False
2021-W18-2026-07-07T00:50:07.738745+00:00,2021-W18,null_rate_delta,transmission,0.0005693265401658233,0.1,False
2021-W14-2026-07-07T00:46:35.743387+00:00,2021-W14,null_rate_delta,type,0.057797365421307034,0.1,False
2021-W15-2026-07-07T00:47:00.838004+00:00,2021-W15,null_rate_delta,type,-0.013078515629245502,0.1,False
2021-W16-2026-07-07T00:47:35.000734+00:00,2021-W16,null_rate_delta,type,0.011468587421777476,0.1,False
